,word_custom,similarity_custom,word_google,similarity_google
0,compassionate,0.954961895942688,playful,0.6595738530158997
1,hateful,0.9520337581634521,loving,0.6079658269882202
2,submissive,0.9467794895172119,endearing,0.6056519746780396
3,considerate,0.9441692233085632,affection,0.5745200514793396
4,hostile,0.9406910538673401,flirtatious,0.55764240026474
5,unfriendly,0.9368013143539429,lovable,0.5493666529655457
6,truthful,0.9362722635269165,gentle,0.5466917753219604
7,sympathetic,0.9343375563621521,sociable,0.5462646484375
8,insincere,0.929573655128479,good_natured,0.5455296039581299
9,victimized,0.9248496890068054,charming,0.5257826447486877
