,multi_nb,logreg,svc,dec_tree,rf
anger,0.798857672121025,0.8581352269218895,0.9367088607594937,0.9367088607594937,0.827817227539364
fear,0.750901212540509,0.8183009867822161,0.7841459418126207,0.7841459418126207,0.8282052215708408
joy,0.9670866382718254,0.9334464026116452,0.8685888443979699,0.8685888443979699,0.9301945981789895
love,0.555497051390059,0.7747999157540016,0.9461878685762426,0.9461878685762426,0.6655960404380792
sadness,0.9431172798315465,0.9277399647078014,0.8979047110636594,0.8979047110636594,0.9008556133873097
surprise,0.42402526418073605,0.740313373011053,0.9160694764970242,0.9160694764970242,0.6232236122919956
micro,0.8585129629550128,0.8879849570477347,0.8845977169400643,0.8845977169400643,0.8630164038586203
macro,0.7399141863892834,0.8421226449647677,0.8916009505178351,0.8916009505178351,0.79598205223443
accuracy,0.8585129629550128,0.8879849570477347,0.8845977169400643,0.8845977169400643,0.8630164038586203
